  Quarters  Lambda  Cert. Eq. Cons  Avg. Spread  Avg. b/y  Def Freq
    1.0000    1.0000    1.0175    0.0026    0.8123    0.0024
    2.0000    0.5000    1.0175    0.0049    0.8081    0.0047
    4.0000    0.2500    1.0169    0.0103    0.7863    0.0096
    6.0000    0.1667    1.0160    0.0167    0.7631    0.0156
    8.0000    0.1250    1.0150    0.0242    0.7421    0.0226
   10.0000    0.1000    1.0140    0.0327    0.7249    0.0297
   12.0000    0.0833    1.0128    0.0420    0.7120    0.0376
   14.0000    0.0714    1.0118    0.0518    0.7037    0.0456
   16.0000    0.0625    1.0108    0.0618    0.6995    0.0535
   18.0000    0.0556    1.0099    0.0719    0.6983    0.0609
   20.0000    0.0500    1.0092    0.0815    0.6999    0.0677
